date,sentiment_vader
2022-09-15,0.08717217816580344
2022-09-16,0.1691032266763283
2022-09-17,0.06611137745578323
2022-09-18,0.11289478412704666
2022-09-19,0.18404405719181127
2022-09-20,0.17325101751540975
2022-09-21,0.1769591792474884
2022-09-22,0.15722755741981967
2022-09-23,0.13137003839186864
2022-09-24,0.15778064205690484
2022-09-25,0.09510949656483486
2022-09-26,0.14381081654393055
2022-09-27,0.15695581111538734
2022-09-28,0.1516032841595117
2022-09-29,0.1293694582267707
2022-09-30,0.11730108080555843
2022-10-01,0.1306661731764488
2022-10-02,0.10027562754257281
2022-10-03,0.11166550996176763
2022-10-04,0.11732788327217653
2022-10-05,0.11758067950363257
2022-10-06,0.11087356882378768
2022-10-07,0.10440661958697808
2022-10-08,0.10106337701321787
2022-10-09,0.11415560059934671
2022-10-10,0.09654548964749511
2022-10-11,0.0944658943811282
2022-10-12,0.09547407406862089
2022-10-13,0.09380596705193392
2022-10-14,0.09067970586228272
